iter	Passed	Remaining
0	0	35
1	0	31
2	0	29
3	1	28
4	1	28
5	1	28
6	2	27
7	2	27
8	2	27
9	2	26
10	3	26
11	3	25
12	3	25
13	4	24
14	4	24
15	4	24
16	4	24
17	5	23
18	5	23
19	5	23
20	6	23
21	6	22
22	6	22
23	7	22
24	7	22
25	7	21
26	7	21
27	8	21
28	8	21
29	8	20
30	9	20
31	9	20
32	9	19
33	10	19
34	10	19
35	10	19
36	11	18
37	11	18
38	11	18
39	11	17
40	12	17
41	12	17
42	12	16
43	12	16
44	13	16
45	13	15
46	13	15
47	14	15
48	14	14
49	14	14
50	15	14
51	15	14
52	15	13
53	15	13
54	16	13
55	16	13
56	16	12
57	17	12
58	17	12
59	17	11
60	18	11
61	18	11
62	18	11
63	19	10
64	19	10
65	19	10
66	19	9
67	20	9
68	20	9
69	20	8
70	21	8
71	21	8
72	21	8
73	22	7
74	22	7
75	22	7
76	23	6
77	23	6
78	23	6
79	23	5
80	23	5
81	24	5
82	24	5
83	24	4
84	25	4
85	25	4
86	25	3
87	25	3
88	26	3
89	26	2
90	26	2
91	27	2
92	27	2
93	27	1
94	27	1
95	28	1
96	28	0
97	28	0
98	29	0
99	29	0
